k,accuracy
1,7.74336283
2,8.92330383
3,8.18584071
4,8.77581121
5,9.36578171
6,9.80825959
7,9.95575221
8,10.25073746
9,10.32448378
10,11.0619469
11,10.84070796
12,10.76696165
13,11.28318584
14,11.94690265
15,11.6519174
16,11.79941003
17,12.09439528
18,12.09439528
19,12.24188791
20,12.31563422
21,12.38938053
22,12.61061947
23,12.97935103
24,13.27433628
25,13.05309735
26,13.3480826
27,13.05309735
28,13.05309735
29,12.97935103
30,12.97935103
31,13.20058997
32,13.20058997
33,13.56932153
34,13.42182891
35,13.49557522
36,13.27433628
37,13.05309735
38,13.05309735
39,12.97935103
40,12.97935103
41,13.20058997
42,13.12684366
43,13.27433628
44,13.12684366
45,13.3480826
46,13.42182891
47,13.42182891
48,13.3480826
49,13.49557522
50,13.42182891
51,13.56932153
52,13.79056047
53,14.15929204
54,13.86430678
55,13.86430678
56,13.86430678
57,13.9380531
58,14.08554572
59,14.08554572
60,14.08554572
61,14.01179941
62,14.15929204
63,14.15929204
64,14.45427729
65,14.38053097
66,14.15929204
67,14.08554572
68,13.79056047
69,14.08554572
70,14.01179941
71,13.86430678
72,13.56932153
73,13.49557522
74,13.64306785
75,13.64306785
76,13.71681416
77,13.71681416
78,13.79056047
79,14.01179941
80,14.08554572
81,13.9380531
82,14.01179941
83,14.15929204
84,14.30678466
85,14.30678466
86,14.30678466
87,14.30678466
88,13.86430678
89,13.9380531
90,14.15929204
91,14.23303835
92,14.38053097
93,14.15929204
94,14.15929204
95,13.86430678
96,13.9380531
97,14.01179941
98,14.08554572
99,14.15929204
100,14.01179941
