Multi-class,C,gamma,training time,train accuracy,test accuracy
ovo,0.001,1,39.5675208569,0.1260729614,0.0440251572
,0.01,2,36.8644278049,0.3261802575,0.1509433962
,0.1,3,41.0687060356,0.9980329041,0.141509434
,0.2,4,44.1008682251,1,0.141509434
,0.3,5,41.4129755497,1,0.141509434
,100,6,40.766356945,1,0.141509434
,1000,7,44.2510602474,1,0.141509434
ovr,0.001,8,2.7129421234,0.4062947067,0.0597484277
,0.01,9,3.4114162922,0.8404864092,0.1006289308
,0.1,10,5.3547954559,0.9774678112,0.1037735849
,0.2,11,5.9562206268,0.9855150215,0.0849056604
,0.3,12,6.2414221764,0.988018598,0.0786163522
,100,13,7.3201856613,0.9746065808,0.0377358491
,1000,14,7.6544427872,0.974248927,0.0408805031
